id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,Ecuador,31,M,Machu Picchu,Loreto,2025-04-23,3,3202,Avión
V0002,EEUU,21,F,Caral,Puno,2025-08-16,8,2285,Avión
V0003,Perú,50,F,Cajamarca,Cajamarca,2025-01-18,1,4909,Bus
V0004,Argentina,69,F,Lago Titicaca,Loreto,2025-12-11,9,362,Auto
V0005,Chile,29,M,Machu Picchu,Loreto,2025-12-23,10,1661,Avión
V0006,España,42,F,Líneas de Nazca,Cajamarca,2025-06-07,3,397,Avión
V0007,EEUU,25,F,Amazonas,Cajamarca,2025-02-09,3,1041,Bus
V0008,Colombia,55,M,Chan Chan,Lima,2025-02-21,3,2697,Bus
V0009,Brasil,23,M,Cajamarca,Cusco,2025-10-04,9,2110,Avión
V0010,EEUU,36,F,Líneas de Nazca,La Libertad,2025-11-07,6,369,Tren
V0011,Argentina,25,F,Chan Chan,Cajamarca,2025-11-26,10,1055,Avión
V0012,Colombia,65,F,Amazonas,Loreto,2025-11-03,2,3164,
V0013,Ecuador,46,M,Caral,Loreto,2025-12-14,6,1626,Auto
V0014,Colombia,35,F,Caral,Lima,2025-03-03,4,4145,Bus
V0015,Chile,55,M,Caral,Lima,2025-12-14,8,868,Tren
V0016,Chile,28,F,Caral,Cusco,2025-07-22,7,3813,Bus
V0017,Brasil,62,F,Cajamarca,Cajamarca,2025-03-01,5,3345,
V0018,EEUU,28,F,Chan Chan,Cajamarca,2025-02-27,7,3231,Tren
V0019,Ecuador,55,F,Caral,Ica,2025-03-22,10,3619,Tren
V0020,España,45,F,Lago Titicaca,La Libertad,2025-11-26,4,3166,Bus
V0021,Argentina,59,F,Lago Titicaca,Cusco,2025-06-15,8,584,Bus
V0022,Brasil,32,F,,Puno,2025-09-23,1,2752,Avión
V0023,Chile,40,F,Líneas de Nazca,Lima,2025-11-25,4,2594,Bus
V0024,EEUU,26,F,Cajamarca,Cusco,2025-02-11,10,790,
V0025,Colombia,33,F,Amazonas,Cusco,2025-05-20,5,389,Tren
V0026,Ecuador,63,M,,Lima,2025-08-14,9,1291,
V0027,Brasil,55,F,Caral,Ica,2025-07-14,3,4456,Auto
V0028,Colombia,55,M,Caral,Cusco,2025-05-24,10,1533,
V0029,EEUU,65,M,Amazonas,Cajamarca,2025-05-25,1,3162,Tren
V0030,Francia,50,F,Lago Titicaca,Ica,2025-10-06,10,3999,Bus
V0031,Ecuador,58,F,Amazonas,Ica,2025-11-17,5,472,Auto
V0032,Brasil,30,F,Lago Titicaca,Cajamarca,2025-08-14,4,1500,Tren
V0033,España,32,F,Líneas de Nazca,Cajamarca,2025-02-25,9,699,Auto
V0034,España,49,F,Caral,Puno,2025-10-11,1,3593,Tren
V0035,Ecuador,37,M,Lago Titicaca,Ica,2025-01-27,4,3601,
V0036,España,31,M,Cajamarca,Ica,2025-01-09,5,3068,Tren
V0037,Ecuador,27,M,Amazonas,Cusco,2025-11-23,4,4784,Tren
V0038,Chile,34,M,Cajamarca,Puno,2025-08-13,3,2969,Auto
V0039,Brasil,42,M,Cajamarca,Ica,2025-12-10,2,1764,Auto
V0040,Chile,21,F,Lago Titicaca,Cajamarca,2025-06-10,8,4778,
V0041,EEUU,25,F,Cajamarca,Lima,2025-02-25,7,714,
V0042,Perú,48,M,Chan Chan,Cajamarca,2025-05-06,4,3996,Tren
V0043,España,33,F,Amazonas,La Libertad,2025-12-27,7,4978,Auto
V0044,Colombia,67,F,Cajamarca,Puno,2025-11-19,1,4486,Avión
V0045,España,60,M,Caral,Puno,2025-07-07,7,3311,Auto
V0046,Francia,41,F,Líneas de Nazca,Loreto,2025-04-19,4,393,Auto
V0047,EEUU,29,M,Amazonas,Loreto,2025-01-10,3,3780,Auto
V0048,Perú,46,F,Cajamarca,Lima,2025-03-23,10,591,Bus
V0049,Perú,31,F,Machu Picchu,Cusco,2025-02-14,1,745,Avión
V0050,Colombia,46,M,Cajamarca,Ica,2025-02-14,7,2581,Bus
V0051,Perú,69,M,Caral,Cusco,2025-12-26,6,4744,Bus
V0052,Argentina,59,M,,Lima,2025-07-09,5,2011,Bus
V0053,Ecuador,49,M,Cajamarca,Puno,2025-07-28,3,1030,Avión
V0054,Brasil,28,M,Líneas de Nazca,Lima,2025-11-03,10,427,Auto
V0055,Perú,47,M,Machu Picchu,Cajamarca,2025-06-23,3,1658,Avión
V0056,Perú,57,M,Cajamarca,Cajamarca,2025-03-13,5,1437,Bus
V0057,Chile,70,F,Caral,Lima,2025-11-13,7,3323,Avión
V0058,Ecuador,58,M,Líneas de Nazca,Cusco,2025-10-01,6,885,Avión
V0059,Argentina,23,M,Chan Chan,Cajamarca,2025-11-08,6,560,Tren
V0060,España,63,F,Lago Titicaca,Puno,2025-09-09,6,3950,Bus
V0061,Colombia,54,M,Líneas de Nazca,Ica,2025-07-25,3,4532,Auto
V0062,Brasil,67,M,Machu Picchu,Lima,2025-11-22,7,1867,Bus
V0063,España,43,M,Chan Chan,Loreto,2025-03-04,3,3459,Tren
V0064,España,52,M,Caral,Loreto,2025-06-13,2,683,Bus
V0065,Colombia,53,F,Amazonas,Ica,2025-07-08,6,3930,Auto
V0066,Argentina,69,M,Líneas de Nazca,Ica,2025-06-03,10,3516,Auto
V0067,Francia,40,M,Caral,Lima,2025-06-06,6,1468,Auto
