id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,Ecuador,31,M,Machu Picchu,Loreto,2025-04-23,3,3202.0,Avión
V0002,EEUU,21,F,Caral,Puno,2025-08-16,8,2285.0,Avión
V0003,Perú,50,F,Cajamarca,Cajamarca,2025-01-18,1,4909.0,Bus
V0004,Argentina,69,F,Lago Titicaca,Loreto,2025-12-11,9,362.0,Auto
V0005,Chile,29,M,Machu Picchu,Loreto,2025-12-23,10,1661.0,Avión
V0006,España,42,F,Líneas de Nazca,Cajamarca,2025-06-07,3,397.0,Avión
V0007,EEUU,25,F,Amazonas,Cajamarca,2025-02-09,3,1041.0,Bus
V0008,Colombia,55,M,Chan Chan,Lima,2025-02-21,3,2697.0,Bus
V0009,Brasil,23,M,Cajamarca,Cusco,2025-10-04,9,2110.0,Avión
V0010,EEUU,36,F,Líneas de Nazca,La Libertad,2025-11-07,6,369.0,Tren
V0011,Argentina,25,F,Chan Chan,Cajamarca,2025-11-26,10,1055.0,Avión
V0012,Colombia,65,F,Amazonas,Loreto,2025-11-03,2,3164.0,Desconocido
V0013,Ecuador,46,M,Caral,Loreto,2025-12-14,6,1626.0,Auto
V0014,Colombia,35,F,Caral,Lima,2025-03-03,4,4145.0,Bus
V0015,Chile,55,M,Caral,Lima,2025-12-14,8,868.0,Tren
V0016,Chile,28,F,Caral,Cusco,2025-07-22,7,3813.0,Bus
V0017,Brasil,62,F,Cajamarca,Cajamarca,2025-03-01,5,3345.0,Desconocido
V0018,EEUU,28,F,Chan Chan,Cajamarca,2025-02-27,7,3231.0,Tren
V0019,Ecuador,55,F,Caral,Ica,2025-03-22,10,3619.0,Tren
V0020,España,45,F,Lago Titicaca,La Libertad,2025-11-26,4,3166.0,Bus
V0021,Argentina,59,F,Lago Titicaca,Cusco,2025-06-15,8,584.0,Bus
V0022,Brasil,32,F,Sin destino,Puno,2025-09-23,1,2752.0,Avión
V0023,Chile,40,F,Líneas de Nazca,Lima,2025-11-25,4,2594.0,Bus
V0024,EEUU,26,F,Cajamarca,Cusco,2025-02-11,10,790.0,Desconocido
V0025,Colombia,33,F,Amazonas,Cusco,2025-05-20,5,389.0,Tren
V0026,Ecuador,63,M,Sin destino,Lima,2025-08-14,9,1291.0,Desconocido
V0027,Brasil,55,F,Caral,Ica,2025-07-14,3,4456.0,Auto
V0028,Colombia,55,M,Caral,Cusco,2025-05-24,10,1533.0,Desconocido
V0029,EEUU,65,M,Amazonas,Cajamarca,2025-05-25,1,3162.0,Tren
V0030,Francia,50,F,Lago Titicaca,Ica,2025-10-06,10,3999.0,Bus
V0031,Ecuador,58,F,Amazonas,Ica,2025-11-17,5,472.0,Auto
V0032,Brasil,30,F,Lago Titicaca,Cajamarca,2025-08-14,4,1500.0,Tren
V0033,España,32,F,Líneas de Nazca,Cajamarca,2025-02-25,9,699.0,Auto
V0034,España,49,F,Caral,Puno,2025-10-11,1,3593.0,Tren
V0035,Ecuador,37,M,Lago Titicaca,Ica,2025-01-27,4,3601.0,Desconocido
V0036,España,31,M,Cajamarca,Ica,2025-01-09,5,3068.0,Tren
V0037,Ecuador,27,M,Amazonas,Cusco,2025-11-23,4,4784.0,Tren
V0038,Chile,34,M,Cajamarca,Puno,2025-08-13,3,2969.0,Auto
V0039,Brasil,42,M,Cajamarca,Ica,2025-12-10,2,1764.0,Auto
V0040,Chile,21,F,Lago Titicaca,Cajamarca,2025-06-10,8,4778.0,Desconocido
V0041,EEUU,25,F,Cajamarca,Lima,2025-02-25,7,714.0,Desconocido
V0042,Perú,48,M,Chan Chan,Cajamarca,2025-05-06,4,3996.0,Tren
V0043,España,33,F,Amazonas,La Libertad,2025-12-27,7,4978.0,Auto
V0044,Colombia,67,F,Cajamarca,Puno,2025-11-19,1,4486.0,Avión
V0045,España,60,M,Caral,Puno,2025-07-07,7,3311.0,Auto
V0046,Francia,41,F,Líneas de Nazca,Loreto,2025-04-19,4,393.0,Auto
V0047,EEUU,29,M,Amazonas,Loreto,2025-01-10,3,3780.0,Auto
V0048,Perú,46,F,Cajamarca,Lima,2025-03-23,10,591.0,Bus
V0049,Perú,31,F,Machu Picchu,Cusco,2025-02-14,1,745.0,Avión
V0050,Colombia,46,M,Cajamarca,Ica,2025-02-14,7,2581.0,Bus
V0051,Perú,69,M,Caral,Cusco,2025-12-26,6,4744.0,Bus
V0052,Argentina,59,M,Sin destino,Lima,2025-07-09,5,2011.0,Bus
V0053,Ecuador,49,M,Cajamarca,Puno,2025-07-28,3,1030.0,Avión
V0054,Brasil,28,M,Líneas de Nazca,Lima,2025-11-03,10,427.0,Auto
V0055,Perú,47,M,Machu Picchu,Cajamarca,2025-06-23,3,1658.0,Avión
V0056,Perú,57,M,Cajamarca,Cajamarca,2025-03-13,5,1437.0,Bus
V0057,Chile,70,F,Caral,Lima,2025-11-13,7,3323.0,Avión
V0058,Ecuador,58,M,Líneas de Nazca,Cusco,2025-10-01,6,885.0,Avión
V0059,Argentina,23,M,Chan Chan,Cajamarca,2025-11-08,6,560.0,Tren
V0060,España,63,F,Lago Titicaca,Puno,2025-09-09,6,3950.0,Bus
V0061,Colombia,54,M,Líneas de Nazca,Ica,2025-07-25,3,4532.0,Auto
V0062,Brasil,67,M,Machu Picchu,Lima,2025-11-22,7,1867.0,Bus
V0063,España,43,M,Chan Chan,Loreto,2025-03-04,3,3459.0,Tren
V0064,España,52,M,Caral,Loreto,2025-06-13,2,683.0,Bus
V0065,Colombia,53,F,Amazonas,Ica,2025-07-08,6,3930.0,Auto
V0066,Argentina,69,M,Líneas de Nazca,Ica,2025-06-03,10,3516.0,Auto
V0067,Francia,40,M,Caral,Lima,2025-06-06,6,1468.0,Auto
V0068,Chile,21,M,Amazonas,Lima,2025-05-01,1,4956.0,Desconocido
V0069,Argentina,35,M,Machu Picchu,Puno,2025-11-09,2,4363.0,Desconocido
V0070,Brasil,19,F,Chan Chan,Lima,2025-07-04,9,1219.0,Avión
V0071,Ecuador,51,M,Chan Chan,Cusco,2025-04-18,2,2795.0,Desconocido
V0072,España,54,M,Líneas de Nazca,La Libertad,2025-08-09,6,4791.0,Avión
V0073,Perú,37,F,Machu Picchu,Lima,2025-02-04,9,4891.0,Desconocido
V0074,Brasil,44,F,Chan Chan,Puno,2025-10-11,10,2978.0,Tren
V0075,Francia,40,F,Líneas de Nazca,La Libertad,2025-10-12,2,4456.0,Avión
V0076,Ecuador,38,F,Caral,La Libertad,2025-03-18,10,3733.0,Bus
V0077,Francia,39,F,Caral,Loreto,2025-02-10,8,1708.0,Bus
V0078,Ecuador,52,M,Chan Chan,La Libertad,2025-07-26,6,4447.0,Avión
V0079,Brasil,69,F,Lago Titicaca,Cusco,2025-02-23,9,445.0,Auto
V0080,Brasil,65,F,Cajamarca,La Libertad,2025-01-10,10,2421.0,Avión
V0081,España,55,M,Machu Picchu,Loreto,2025-10-21,4,364.0,Avión
V0082,Perú,24,F,Lago Titicaca,Cajamarca,2025-12-18,4,772.0,Bus
V0083,Brasil,27,F,Amazonas,Ica,2025-12-22,7,1065.0,Avión
V0084,Brasil,48,M,Caral,Cajamarca,2025-09-22,5,4166.0,Desconocido
V0085,Ecuador,53,F,Lago Titicaca,La Libertad,2025-10-13,3,2625.0,Bus
V0086,Ecuador,62,F,Líneas de Nazca,Cajamarca,2025-01-02,6,3453.0,Avión
V0087,EEUU,34,M,Caral,Ica,2025-05-12,5,1679.0,Tren
V0088,Perú,56,F,Lago Titicaca,Puno,2025-11-26,10,3266.0,Auto
V0089,España,26,F,Líneas de Nazca,Loreto,2025-11-18,1,4349.0,Desconocido
V0090,Colombia,60,M,Caral,Puno,2025-05-09,3,631.0,Avión
V0091,Ecuador,37,F,Machu Picchu,Puno,2025-04-27,4,4068.0,Desconocido
V0092,Perú,32,F,Caral,Lima,2025-07-06,7,2915.0,Auto
V0093,Brasil,25,F,Machu Picchu,Loreto,2025-11-08,7,2453.0,Avión
V0094,Perú,40,M,Lago Titicaca,Cusco,2025-02-23,6,314.0,Auto
V0095,EEUU,63,M,Caral,Ica,2025-11-06,8,3045.0,Desconocido
V0096,Chile,47,F,Chan Chan,Puno,2025-11-27,3,2604.0,Avión
V0097,EEUU,48,F,Chan Chan,La Libertad,2025-10-24,8,318.0,Avión
V0098,Argentina,20,F,Chan Chan,La Libertad,2025-12-13,9,434.0,Auto
V0099,Ecuador,20,F,Sin destino,Cajamarca,2025-11-06,3,502.0,Tren
V0100,Ecuador,41,M,Machu Picchu,Ica,2025-03-27,3,2850.0,Avión
V0101,Chile,38,M,Amazonas,Cajamarca,2025-07-07,2,2576.0,Bus
V0102,EEUU,18,M,Líneas de Nazca,Cusco,2025-06-19,6,4871.0,Desconocido
V0103,Colombia,59,F,Caral,Ica,2025-12-08,2,751.0,Auto
V0104,Brasil,19,M,Líneas de Nazca,Lima,2025-08-02,6,4747.0,Tren
V0105,Colombia,56,F,Cajamarca,Cusco,2025-04-27,5,1127.0,Tren
V0106,Brasil,47,M,Machu Picchu,Cajamarca,2025-12-21,10,2082.0,Tren
V0107,EEUU,35,M,Chan Chan,Loreto,2025-08-07,1,533.0,Avión
V0108,Francia,51,M,Caral,La Libertad,2025-02-22,6,1997.0,Tren
V0109,Francia,65,F,Líneas de Nazca,Cusco,2025-05-02,7,317.0,Bus
V0110,Ecuador,44,M,Machu Picchu,Loreto,2025-10-05,5,3794.0,Desconocido
V0111,EEUU,33,M,Machu Picchu,Ica,2025-01-12,5,1291.0,Desconocido
V0112,Colombia,66,F,Chan Chan,Loreto,2025-03-05,4,931.0,Desconocido
V0113,Brasil,22,M,Amazonas,Lima,2025-06-12,8,3098.0,Avión
V0114,Perú,59,F,Líneas de Nazca,Loreto,2025-08-27,9,4488.0,Tren
V0115,Chile,39,F,Caral,Lima,2025-12-23,5,3992.0,Tren
V0116,Francia,68,M,Lago Titicaca,Cajamarca,2025-03-23,7,1765.0,Avión
V0117,Argentina,57,F,Amazonas,La Libertad,2025-03-14,10,1043.0,Auto
V0118,Colombia,62,F,Machu Picchu,Loreto,2025-10-23,7,2068.0,Bus
V0119,Ecuador,49,F,Chan Chan,La Libertad,2025-04-10,8,4648.0,Bus
V0120,Brasil,26,F,Cajamarca,Cajamarca,2025-12-12,6,1813.0,Auto
V0121,Ecuador,60,F,Chan Chan,Puno,2025-08-12,10,1072.0,Desconocido
V0122,Francia,68,M,Chan Chan,Puno,2025-09-16,4,2957.0,Bus
V0123,España,56,F,Líneas de Nazca,Cusco,2025-01-26,9,4040.0,Desconocido
V0124,Chile,48,F,Lago Titicaca,Loreto,2025-12-19,10,4986.0,Tren
V0125,Brasil,57,M,Machu Picchu,Ica,2025-04-27,2,2097.0,Bus
V0126,Ecuador,62,M,Caral,Cusco,2025-12-04,8,1637.0,Tren
V0127,Ecuador,65,F,Lago Titicaca,Lima,2025-11-19,6,3139.0,Auto
V0128,Ecuador,46,M,Cajamarca,Puno,2025-02-27,4,3582.0,Avión
V0129,Brasil,53,M,Machu Picchu,Ica,2025-10-26,6,4579.0,Desconocido
V0130,Perú,48,F,Amazonas,Lima,2025-06-27,3,2390.0,Tren
V0131,EEUU,31,M,Líneas de Nazca,Lima,2025-05-28,2,2647.0,Bus
V0132,Perú,24,F,Cajamarca,La Libertad,2025-05-14,3,1935.0,Tren
V0133,EEUU,18,M,Líneas de Nazca,Lima,2025-05-24,3,2628.0,Desconocido
V0134,Brasil,25,F,Chan Chan,Ica,2025-03-12,1,3737.0,Auto
V0135,Brasil,22,M,Chan Chan,Cusco,2025-04-02,8,470.0,Tren
V0136,Chile,61,M,Cajamarca,Cajamarca,2025-12-26,4,1197.0,Desconocido
V0137,Perú,20,F,Machu Picchu,Cajamarca,2025-02-06,5,706.0,Bus
V0138,España,32,M,Cajamarca,Loreto,2025-03-19,3,4783.0,Desconocido
V0139,Perú,61,M,Caral,Loreto,2025-02-08,7,451.0,Tren
V0140,Colombia,47,F,Chan Chan,La Libertad,2025-10-06,5,3303.0,Avión
V0141,Perú,21,F,Lago Titicaca,Cajamarca,2025-02-16,10,4603.0,Avión
V0142,Brasil,36,M,Machu Picchu,Lima,2025-01-17,7,2840.0,Avión
V0143,Ecuador,60,F,Cajamarca,Lima,2025-12-11,10,2223.0,Avión
V0144,Francia,24,F,Cajamarca,Cajamarca,2025-02-06,9,3758.0,Auto
V0145,Brasil,68,F,Cajamarca,Puno,2025-04-28,3,691.0,Desconocido
V0146,Francia,38,F,Lago Titicaca,Cusco,2025-09-16,5,1227.0,Avión
V0147,España,35,M,Lago Titicaca,Cusco,2025-09-15,10,2720.0,Bus
V0148,Colombia,32,F,Chan Chan,Cajamarca,2025-10-13,7,2622.0,Avión
V0149,Perú,26,F,Líneas de Nazca,Loreto,2025-02-02,1,3007.0,Bus
V0150,EEUU,22,F,Chan Chan,Lima,2025-07-01,2,345.0,Avión
V0151,Chile,29,F,Lago Titicaca,Puno,2025-04-15,6,1243.0,Desconocido
V0152,Perú,69,F,Cajamarca,La Libertad,2025-05-11,6,3167.0,Tren
V0153,Ecuador,65,M,Cajamarca,Lima,2025-04-28,6,2943.0,Auto
V0154,España,62,M,Machu Picchu,Loreto,2025-05-23,6,4895.0,Bus
V0155,EEUU,60,M,Cajamarca,Cusco,2025-08-14,6,450.0,Tren
V0156,Brasil,69,F,Cajamarca,La Libertad,2025-09-06,5,2559.0,Bus
V0157,España,59,M,Líneas de Nazca,Lima,2025-11-18,9,3305.0,Tren
V0158,Chile,61,M,Caral,Loreto,2025-09-04,2,4348.0,Avión
V0159,Chile,52,M,Amazonas,La Libertad,2025-09-15,10,4216.0,Bus
V0160,España,32,F,Machu Picchu,La Libertad,2025-08-01,4,2112.0,Bus
V0161,Colombia,28,M,Lago Titicaca,Lima,2025-01-14,1,3584.0,Auto
V0162,Chile,31,F,Machu Picchu,Loreto,2025-02-08,1,1764.0,Avión
V0163,Argentina,58,M,Líneas de Nazca,La Libertad,2025-03-18,7,2525.0,Bus
V0164,España,42,M,Amazonas,Cusco,2025-07-19,2,1372.0,Avión
V0165,EEUU,22,F,Amazonas,Lima,2025-10-20,10,3552.0,Desconocido
V0166,Ecuador,62,M,Cajamarca,Ica,2025-07-16,3,1019.0,Bus
V0167,España,37,M,Machu Picchu,Lima,2025-04-01,8,3650.0,Bus
V0168,Ecuador,67,M,Lago Titicaca,Cajamarca,2025-03-08,9,4165.0,Tren
V0169,Colombia,62,M,Líneas de Nazca,Lima,2025-06-05,10,4971.0,Tren
V0170,Ecuador,34,M,Líneas de Nazca,Ica,2025-04-28,8,2003.0,Auto
V0171,Francia,37,M,Sin destino,Lima,2025-10-09,4,4585.0,Desconocido
V0172,Francia,48,F,Cajamarca,La Libertad,2025-12-03,5,382.0,Auto
V0173,Colombia,54,M,Líneas de Nazca,Ica,2025-06-24,5,1648.0,Bus
V0174,EEUU,30,M,Chan Chan,Cusco,2025-12-20,6,466.0,Bus
V0175,Ecuador,62,F,Líneas de Nazca,Ica,2025-12-13,5,4069.0,Auto
V0176,España,65,F,Machu Picchu,Lima,2025-10-02,4,423.0,Bus
